model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE,gender,0.0431,0.0235,0.0035,0.8117
GraphSAGE,region,0.0531,0.0044,0.002,0.641
GraphSAGE,age_group,0.056,0.0382,0.0083,0.8905
GraphSAGE,gender_x_age,0.0875,0.0646,0.014,0.8536
GraphSAGE,gender_x_region,0.0929,0.0311,0.0067,0.7269
GraphSAGE+Resampling,gender,0.0428,0.0235,0.0036,0.8118
GraphSAGE+Resampling,region,0.0529,0.0036,0.002,0.6407
GraphSAGE+Resampling,age_group,0.056,0.0382,0.0083,0.8908
GraphSAGE+Resampling,gender_x_age,0.087,0.0646,0.0141,0.8537
GraphSAGE+Resampling,gender_x_region,0.0927,0.0321,0.0067,0.7271
GraphSAGE+FairDrop,gender,0.0433,0.025,0.0038,0.8253
GraphSAGE+FairDrop,region,0.0537,0.0077,0.0019,0.6319
GraphSAGE+FairDrop,age_group,0.0549,0.0404,0.0089,0.8917
GraphSAGE+FairDrop,gender_x_age,0.0819,0.0737,0.0147,0.861
GraphSAGE+FairDrop,gender_x_region,0.0939,0.0348,0.0067,0.734
FairGNN(λ=5.0),gender,0.009,0.0114,0.0004,0.8618
FairGNN(λ=5.0),region,0.0729,0.0188,0.0164,0.6659
FairGNN(λ=5.0),age_group,0.0645,0.0336,0.0172,0.8256
FairGNN(λ=5.0),gender_x_age,0.1535,0.0435,0.0561,0.8331
FairGNN(λ=5.0),gender_x_region,0.0809,0.0282,0.0227,0.7687
TabICL,gender,0.041,0.025,0.0041,0.8819
TabICL,region,0.0498,0.0024,0.0026,0.6208
TabICL,age_group,0.0591,0.0257,0.0069,0.9919
TabICL,gender_x_age,0.0916,0.0528,0.0118,0.9392
TabICL,gender_x_region,0.0879,0.0353,0.0082,0.7729
