model,attribute,delta_dp_mean,delta_dp_std,delta_eo_mean,delta_eo_std,group_auc_gap_mean,group_auc_gap_std,leakage_auc_mean,leakage_auc_std
FairGNN(λ=5.0),age_group,0.052059999999999995,0.014435477131013022,0.024640000000000002,0.01382074527657608,0.016220000000000002,0.00339367057918119,0.82908,0.012242017807534882
FairGNN(λ=5.0),gender,0.01346,0.006955070093104742,0.00604,0.0038907582808496346,0.00654,0.005034183151217286,0.86968,0.0048751410236012776
FairGNN(λ=5.0),gender_x_age,0.11216,0.028385612552840923,0.03208,0.014482299541164034,0.04922,0.006498230528382325,0.8345,0.006997499553411907
FairGNN(λ=5.0),gender_x_region,0.06822,0.01249747974593278,0.01986,0.010565178654428898,0.021060000000000002,0.007144788310370014,0.77734,0.0054793247759189955
FairGNN(λ=5.0),region,0.05388,0.013523756874478338,0.01278,0.008155182401393608,0.0068000000000000005,0.005568213357981176,0.67248,0.008757967800808572
GraphSAGE,age_group,0.033600000000000005,0.01502431362824938,0.039439999999999996,0.008839004468830186,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE,gender,0.03746,0.004441058432400995,0.01892,0.006144265619258334,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE,gender_x_age,0.060880000000000004,0.01598552470205467,0.0596,0.015216274182598044,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE,gender_x_region,0.07432,0.012958279206746548,0.02676,0.009930407846609323,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
GraphSAGE,region,0.040799999999999996,0.011012038866622293,0.00592,0.005747782180980764,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+DPT@age_group,age_group,0.04868,0.015245720711071685,0.0766,0.014649232061783993,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE+DPT@age_group,gender,0.039760000000000004,0.009601458222582652,0.02346,0.011409995617878211,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE+DPT@age_group,gender_x_age,0.07994,0.014338863274332451,0.09688,0.019169950443337098,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE+DPT@age_group,gender_x_region,0.07343999999999999,0.01126978260659894,0.030420000000000003,0.016366337403341043,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
GraphSAGE+DPT@age_group,region,0.03784,0.012845349352975963,0.00614,0.005290368607195533,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+DPT@gender,age_group,0.027979999999999998,0.017339175297573988,0.04002,0.012015281935934754,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE+DPT@gender,gender,0.00676,0.004406585980098425,0.02176,0.00791599646285924,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE+DPT@gender,gender_x_age,0.07052,0.022368661113262907,0.05702,0.012587176013705374,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE+DPT@gender,gender_x_region,0.053759999999999995,0.010440210725842653,0.030959999999999998,0.009098241588351014,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
GraphSAGE+DPT@gender,region,0.04092,0.0094332921082727,0.0034200000000000003,0.005025634288326201,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+DPT@region,age_group,0.036680000000000004,0.013917147696277422,0.03908,0.011908484370397434,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE+DPT@region,gender,0.036919999999999994,0.005990993239855974,0.018080000000000002,0.006840102338415706,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE+DPT@region,gender_x_age,0.06282,0.015166146511226905,0.05820000000000001,0.018317887432780015,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE+DPT@region,gender_x_region,0.0517,0.011636580253665593,0.05908,0.01540899088194941,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
GraphSAGE+DPT@region,region,0.01716,0.008561133102574682,0.040459999999999996,0.01574096566288104,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+DPT_composite@gender_age_group_region,age_group,0.03882,0.021093885369936,0.033,0.015629619317181084,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE+DPT_composite@gender_age_group_region,gender,0.00456,0.006519815948322467,0.0157,0.009012213934433647,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_age,0.06436,0.01425159640180706,0.054759999999999996,0.02150379036356149,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_region,0.03636,0.014235975554910171,0.06892000000000001,0.019296165422176503,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
