model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE,gender,0.0343,0.019,0.0039,0.8124
GraphSAGE,region,0.0205,0.002,0.0002,0.6391
GraphSAGE,age_group,0.0302,0.0272,0.008,0.8922
GraphSAGE,gender_x_age,0.0675,0.0431,0.0116,0.8477
GraphSAGE,gender_x_region,0.0553,0.0368,0.0058,0.7291
GraphSAGE+Resampling,gender,0.0325,0.0186,0.004,0.8135
GraphSAGE+Resampling,region,0.0203,0.0038,0.0002,0.6387
GraphSAGE+Resampling,age_group,0.0291,0.024,0.0079,0.8923
GraphSAGE+Resampling,gender_x_age,0.0659,0.04,0.0117,0.8478
GraphSAGE+Resampling,gender_x_region,0.0536,0.0384,0.0059,0.7298
GraphSAGE+FairDrop,gender,0.0353,0.0176,0.0039,0.831
GraphSAGE+FairDrop,region,0.0228,0.001,0.0002,0.6335
GraphSAGE+FairDrop,age_group,0.0214,0.0387,0.0079,0.8918
GraphSAGE+FairDrop,gender_x_age,0.0529,0.0511,0.0115,0.852
GraphSAGE+FairDrop,gender_x_region,0.0576,0.0335,0.0057,0.7382
FairGNN(λ=1.0),gender,0.0093,0.0062,0.0079,0.8558
FairGNN(λ=1.0),region,0.0258,0.0038,0.0003,0.6443
FairGNN(λ=1.0),age_group,0.0429,0.0066,0.0179,0.8373
FairGNN(λ=1.0),gender_x_age,0.0633,0.0398,0.033,0.8358
FairGNN(λ=1.0),gender_x_region,0.0337,0.0096,0.0102,0.7584
TabICL,gender,0.0344,0.018,0.005,0.8863
TabICL,region,0.0264,0.0004,0.0,0.6023
TabICL,age_group,0.0214,0.0204,0.0072,0.9938
TabICL,gender_x_age,0.0595,0.0367,0.0108,0.9365
TabICL,gender_x_region,0.0593,0.0286,0.0069,0.7698
GraphSAGE+EOT@gender,gender,0.02,0.0064,0.0039,0.8124
GraphSAGE+EOT@gender,region,0.0236,0.0007,0.0002,0.6391
GraphSAGE+EOT@gender,age_group,0.0269,0.029,0.008,0.8922
GraphSAGE+EOT@gender,gender_x_age,0.0562,0.0345,0.0116,0.8477
GraphSAGE+EOT@gender,gender_x_region,0.0438,0.0245,0.0058,0.7291
TabICL+EOT@gender,gender,0.0203,0.0039,0.005,0.8863
TabICL+EOT@gender,region,0.027,0.0029,0.0,0.6023
TabICL+EOT@gender,age_group,0.022,0.021,0.0072,0.9938
TabICL+EOT@gender,gender_x_age,0.0557,0.0296,0.0108,0.9365
TabICL+EOT@gender,gender_x_region,0.0449,0.0139,0.0069,0.7698
GraphSAGE+EOT@age_group,gender,0.0406,0.0275,0.0039,0.8124
GraphSAGE+EOT@age_group,region,0.0229,0.0006,0.0002,0.6391
GraphSAGE+EOT@age_group,age_group,0.0322,0.0328,0.008,0.8922
GraphSAGE+EOT@age_group,gender_x_age,0.0781,0.0561,0.0116,0.8477
GraphSAGE+EOT@age_group,gender_x_region,0.0629,0.0384,0.0058,0.7291
TabICL+EOT@age_group,gender,0.0449,0.0308,0.005,0.8863
TabICL+EOT@age_group,region,0.0255,0.0024,0.0,0.6023
TabICL+EOT@age_group,age_group,0.046,0.0496,0.0072,0.9938
TabICL+EOT@age_group,gender_x_age,0.0881,0.0732,0.0108,0.9365
TabICL+EOT@age_group,gender_x_region,0.0688,0.0384,0.0069,0.7698
GraphSAGE+EOT@region,gender,0.0347,0.0199,0.0039,0.8124
GraphSAGE+EOT@region,region,0.0195,0.0032,0.0002,0.6391
GraphSAGE+EOT@region,age_group,0.0299,0.0277,0.008,0.8922
GraphSAGE+EOT@region,gender_x_age,0.0675,0.0439,0.0116,0.8477
