model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE,gender,0.033,0.0128,0.0043,0.8232
GraphSAGE,region,0.0351,0.0014,0.0034,0.6381
GraphSAGE,age_group,0.0385,0.0268,0.0067,0.8991
GraphSAGE,gender_x_age,0.0634,0.0364,0.012,0.8591
GraphSAGE,gender_x_region,0.0618,0.0162,0.0078,0.7374
GraphSAGE+Resampling,gender,0.0328,0.0125,0.0043,0.8232
GraphSAGE+Resampling,region,0.0349,0.0011,0.0034,0.6384
GraphSAGE+Resampling,age_group,0.0385,0.027,0.0067,0.8993
GraphSAGE+Resampling,gender_x_age,0.0634,0.0364,0.0119,0.8594
GraphSAGE+Resampling,gender_x_region,0.0613,0.0162,0.0078,0.7372
GraphSAGE+FairDrop,gender,0.0369,0.016,0.004,0.8341
GraphSAGE+FairDrop,region,0.0323,0.0006,0.003,0.6274
GraphSAGE+FairDrop,age_group,0.0457,0.0286,0.007,0.8946
GraphSAGE+FairDrop,gender_x_age,0.0686,0.0392,0.0126,0.8604
GraphSAGE+FairDrop,gender_x_region,0.0635,0.0226,0.0073,0.741
FairGNN(λ=5.0),gender,0.0139,0.0019,0.0071,0.872
FairGNN(λ=5.0),region,0.0377,0.0048,0.0068,0.6647
FairGNN(λ=5.0),age_group,0.0445,0.0093,0.0203,0.8358
FairGNN(λ=5.0),gender_x_age,0.1022,0.0141,0.0445,0.8423
FairGNN(λ=5.0),gender_x_region,0.0524,0.0098,0.0171,0.7759
TabICL,gender,0.0373,0.0213,0.0044,0.8872
TabICL,region,0.0299,0.004,0.0028,0.6212
TabICL,age_group,0.0316,0.0273,0.0066,0.994
TabICL,gender_x_age,0.0552,0.0453,0.0111,0.9354
TabICL,gender_x_region,0.0602,0.0246,0.0079,0.7759
GraphSAGE+EOT@gender,gender,0.0077,0.0129,0.0043,0.8232
GraphSAGE+EOT@gender,region,0.0334,0.0031,0.0034,0.6381
GraphSAGE+EOT@gender,age_group,0.0399,0.0312,0.0067,0.8991
GraphSAGE+EOT@gender,gender_x_age,0.0779,0.0402,0.012,0.8591
GraphSAGE+EOT@gender,gender_x_region,0.0481,0.0164,0.0078,0.7374
TabICL+EOT@gender,gender,0.008,0.0095,0.0044,0.8872
TabICL+EOT@gender,region,0.0331,0.0041,0.0028,0.6212
TabICL+EOT@gender,age_group,0.0312,0.024,0.0066,0.994
TabICL+EOT@gender,gender_x_age,0.057,0.0332,0.0111,0.9354
TabICL+EOT@gender,gender_x_region,0.0493,0.0138,0.0079,0.7759
GraphSAGE+EOT@age_group,gender,0.0396,0.0203,0.0043,0.8232
GraphSAGE+EOT@age_group,region,0.0294,0.0037,0.0034,0.6381
GraphSAGE+EOT@age_group,age_group,0.046,0.0306,0.0067,0.8991
GraphSAGE+EOT@age_group,gender_x_age,0.0619,0.0552,0.012,0.8591
GraphSAGE+EOT@age_group,gender_x_region,0.0624,0.0233,0.0078,0.7374
TabICL+EOT@age_group,gender,0.0435,0.031,0.0044,0.8872
TabICL+EOT@age_group,region,0.0285,0.0012,0.0028,0.6212
TabICL+EOT@age_group,age_group,0.0382,0.0292,0.0066,0.994
