dataset,seed,method,axis,lambda_chosen,acc,f1_macro,delta_dp,delta_eo,leakage_auc
pokec-z,3,FairGNN_adv_region,gender,1.0,0.9346,0.9344,0.0369,0.0223,0.7267
pokec-z,3,FairGNN_adv_region,region,1.0,0.9346,0.9344,0.035,0.0064,0.7882
pokec-z,3,FairGNN_adv_region,age_group,1.0,0.9346,0.9344,0.0312,0.0446,0.8619
pokec-z,3,FairGNN_adv_region,gender_x_age,1.0,0.9346,0.9344,0.0589,0.0655,0.8219
pokec-z,3,FairGNN_adv_region,gender_x_region,1.0,0.9346,0.9344,0.0677,0.028,0.7498
pokec-z,7,FairGNN_adv_region,gender,0.5,0.9354,0.9352,0.0406,0.0187,0.7581
pokec-z,7,FairGNN_adv_region,region,0.5,0.9354,0.9352,0.028,0.0036,0.755
pokec-z,7,FairGNN_adv_region,age_group,0.5,0.9354,0.9352,0.0381,0.0424,0.8512
pokec-z,7,FairGNN_adv_region,gender_x_age,0.5,0.9354,0.9352,0.0656,0.0637,0.8223
pokec-z,7,FairGNN_adv_region,gender_x_region,0.5,0.9354,0.9352,0.0634,0.0234,0.7487
pokec-z,21,FairGNN_adv_region,gender,0.5,0.9376,0.9374,0.0252,0.0057,0.7252
pokec-z,21,FairGNN_adv_region,region,0.5,0.9376,0.9374,0.0466,0.0059,0.7628
pokec-z,21,FairGNN_adv_region,age_group,0.5,0.9376,0.9374,0.0229,0.039,0.8427
pokec-z,21,FairGNN_adv_region,gender_x_age,0.5,0.9376,0.9374,0.0466,0.0442,0.8055
pokec-z,21,FairGNN_adv_region,gender_x_region,0.5,0.9376,0.9374,0.0696,0.0126,0.7352
pokec-z,42,FairGNN_adv_region,gender,5.0,0.9368,0.9365,0.0433,0.026,0.7133
pokec-z,42,FairGNN_adv_region,region,5.0,0.9368,0.9365,0.0392,0.0085,0.7486
pokec-z,42,FairGNN_adv_region,age_group,5.0,0.9368,0.9365,0.0547,0.0544,0.8326
pokec-z,42,FairGNN_adv_region,gender_x_age,5.0,0.9368,0.9365,0.0796,0.0717,0.7832
pokec-z,42,FairGNN_adv_region,gender_x_region,5.0,0.9368,0.9365,0.0782,0.0362,0.7191
pokec-z,99,FairGNN_adv_region,gender,5.0,0.9411,0.9409,0.0382,0.0225,0.7584
pokec-z,99,FairGNN_adv_region,region,5.0,0.9411,0.9409,0.0248,0.0143,0.7518
pokec-z,99,FairGNN_adv_region,age_group,5.0,0.9411,0.9409,0.0199,0.0632,0.8342
pokec-z,99,FairGNN_adv_region,gender_x_age,5.0,0.9411,0.9409,0.0625,0.0798,0.7978
pokec-z,99,FairGNN_adv_region,gender_x_region,5.0,0.9411,0.9409,0.0601,0.0373,0.741
pokec-n,3,FairGNN_adv_region,gender,0.5,0.9359,0.9359,0.0358,0.0221,0.7164
pokec-n,3,FairGNN_adv_region,region,0.5,0.9359,0.9359,0.0374,0.0003,0.7564
pokec-n,3,FairGNN_adv_region,age_group,0.5,0.9359,0.9359,0.0393,0.0582,0.8615
pokec-n,3,FairGNN_adv_region,gender_x_age,0.5,0.9359,0.9359,0.0872,0.0933,0.8168
pokec-n,3,FairGNN_adv_region,gender_x_region,0.5,0.9359,0.9359,0.0736,0.0246,0.7272
pokec-n,7,FairGNN_adv_region,gender,0.5,0.9381,0.938,0.0361,0.0192,0.7256
pokec-n,7,FairGNN_adv_region,region,0.5,0.9381,0.938,0.0255,0.0018,0.7215
pokec-n,7,FairGNN_adv_region,age_group,0.5,0.9381,0.938,0.0887,0.0352,0.8732
pokec-n,7,FairGNN_adv_region,gender_x_age,0.5,0.9381,0.938,0.1001,0.0505,0.8279
pokec-n,7,FairGNN_adv_region,gender_x_region,0.5,0.9381,0.938,0.0629,0.0211,0.7131
pokec-n,21,FairGNN_adv_region,gender,1.0,0.9367,0.9366,0.042,0.028,0.7057
pokec-n,21,FairGNN_adv_region,region,1.0,0.9367,0.9366,0.0217,0.0005,0.7849
pokec-n,21,FairGNN_adv_region,age_group,1.0,0.9367,0.9366,0.0424,0.0389,0.8723
pokec-n,21,FairGNN_adv_region,gender_x_age,1.0,0.9367,0.9366,0.0881,0.0548,0.8207
pokec-n,21,FairGNN_adv_region,gender_x_region,1.0,0.9367,0.9366,0.0638,0.0362,0.7383
pokec-n,42,FairGNN_adv_region,gender,1.0,0.9383,0.9383,0.0366,0.0207,0.7415
pokec-n,42,FairGNN_adv_region,region,1.0,0.9383,0.9383,0.025,0.001,0.7595
pokec-n,42,FairGNN_adv_region,age_group,1.0,0.9383,0.9383,0.0198,0.0425,0.8723
pokec-n,42,FairGNN_adv_region,gender_x_age,1.0,0.9383,0.9383,0.0605,0.0629,0.8322
pokec-n,42,FairGNN_adv_region,gender_x_region,1.0,0.9383,0.9383,0.0616,0.0392,0.7392
pokec-n,99,FairGNN_adv_region,gender,0.5,0.9407,0.9407,0.0418,0.0276,0.7073
pokec-n,99,FairGNN_adv_region,region,0.5,0.9407,0.9407,0.0297,0.0114,0.6902
pokec-n,99,FairGNN_adv_region,age_group,0.5,0.9407,0.9407,0.0471,0.063,0.8578
pokec-n,99,FairGNN_adv_region,gender_x_age,0.5,0.9407,0.9407,0.0743,0.0871,0.8109
pokec-n,99,FairGNN_adv_region,gender_x_region,0.5,0.9407,0.9407,0.0671,0.0375,0.6899
