dataset,seed,method,axis,lambda_chosen,acc,f1_macro,delta_dp,delta_eo,leakage_auc
pokec-z,3,FairGNN_two_opt_adv_region,gender,0.5,0.9368,0.9366,0.0373,0.0255,0.6975
pokec-z,3,FairGNN_two_opt_adv_region,region,0.5,0.9368,0.9366,0.0301,0.0126,0.7653
pokec-z,3,FairGNN_two_opt_adv_region,age_group,0.5,0.9368,0.9366,0.0254,0.0547,0.8505
pokec-z,3,FairGNN_two_opt_adv_region,gender_x_age,0.5,0.9368,0.9366,0.0508,0.0753,0.8021
pokec-z,3,FairGNN_two_opt_adv_region,gender_x_region,0.5,0.9368,0.9366,0.0618,0.0346,0.7248
pokec-z,7,FairGNN_two_opt_adv_region,gender,5.0,0.9371,0.9369,0.0373,0.0164,0.7622
pokec-z,7,FairGNN_two_opt_adv_region,region,5.0,0.9371,0.9369,0.0297,0.0013,0.7769
pokec-z,7,FairGNN_two_opt_adv_region,age_group,5.0,0.9371,0.9369,0.0331,0.0412,0.827
pokec-z,7,FairGNN_two_opt_adv_region,gender_x_age,5.0,0.9371,0.9369,0.0598,0.0591,0.7851
pokec-z,7,FairGNN_two_opt_adv_region,gender_x_region,5.0,0.9371,0.9369,0.0593,0.0195,0.7511
pokec-z,21,FairGNN_two_opt_adv_region,gender,5.0,0.9386,0.9385,0.0327,0.0117,0.749
pokec-z,21,FairGNN_two_opt_adv_region,region,5.0,0.9386,0.9385,0.0388,0.0035,0.803
pokec-z,21,FairGNN_two_opt_adv_region,age_group,5.0,0.9386,0.9385,0.0204,0.0392,0.8137
pokec-z,21,FairGNN_two_opt_adv_region,gender_x_age,5.0,0.9386,0.9385,0.0463,0.0547,0.7658
pokec-z,21,FairGNN_two_opt_adv_region,gender_x_region,5.0,0.9386,0.9385,0.0691,0.0153,0.758
pokec-z,42,FairGNN_two_opt_adv_region,gender,0.5,0.9366,0.9364,0.0404,0.0229,0.7081
pokec-z,42,FairGNN_two_opt_adv_region,region,0.5,0.9366,0.9364,0.0425,0.0035,0.7333
pokec-z,42,FairGNN_two_opt_adv_region,age_group,0.5,0.9366,0.9364,0.0592,0.0462,0.8333
pokec-z,42,FairGNN_two_opt_adv_region,gender_x_age,0.5,0.9366,0.9364,0.0838,0.0668,0.7957
pokec-z,42,FairGNN_two_opt_adv_region,gender_x_region,0.5,0.9366,0.9364,0.0798,0.0323,0.7122
pokec-z,99,FairGNN_two_opt_adv_region,gender,0.5,0.9404,0.9402,0.0381,0.0212,0.7439
pokec-z,99,FairGNN_two_opt_adv_region,region,0.5,0.9404,0.9402,0.0238,0.0095,0.7429
pokec-z,99,FairGNN_two_opt_adv_region,age_group,0.5,0.9404,0.9402,0.0183,0.0733,0.845
pokec-z,99,FairGNN_two_opt_adv_region,gender_x_age,0.5,0.9404,0.9402,0.0548,0.0922,0.8137
pokec-z,99,FairGNN_two_opt_adv_region,gender_x_region,0.5,0.9404,0.9402,0.0583,0.0313,0.7375
