language_token,count,english_name
anglicky,22055,english
nemecky,14294,german
a,5755,
svoj,4620,
rusky,3756,russian
slovensky,3212,slovak
ten,2729,
francuzsky,2657,french
taliansky,2220,italian
madarsky,2147,hungarian
sa,2019,
spanielsky,1881,spanish
d,1816,
aj,1796,
ale,1694,
cesky,1264,czech
japonsky,1147,japanese
trochu,1046,
tak,1044,
hlavne,1016,
to,846,
polsky,832,polish
po,830,
som,780,
moj,760,
len,740,
trosku,691,
ucim,611,
no,603,
ovladam,564,
najlepsie,538,
ze,483,
samozrejme,430,
je,429,
viem,428,
na,420,
p,402,
este,398,
ako,390,
v,366,
by,363,
z,329,
trocha,306,
jazyk,302,
mi,299,
dobre,294,
ked,292,
ani,278,
iba,263,
nie,242,
s,240,
pasivne,234,
uz,222,
co,204,
asi,191,
o,190,
mam,180,
si,175,
snazim,167,
niekedy,160,
velmi,160,
moc,159,
slovenski,157,
zaklady,154,
vlastny,152,
dohovorim,152,
nieco,152,
ho,151,
ja,151,
nas,150,
neviem,146,
nemcinu,143,
ma,141,
vsetky,138,
tvoj,136,
troska,135,
francuzky,134,
sak,128,
kazdeho,127,
swoj,127,
cigansky,120,
chcem,118,
neovladam,115,
mozno,108,
quot,106,
nic,103,
ucit,101,
ciastocne,99,
dokonale,99,
staci,98,
ide,97,
jasne,96,
da,95,
nemcina,93,
anglictinu,93,
dd,92,
jazyky,92,
ich,90,
tam,89,
english,88,
rozumiem,88,
aspon,88,
madarski,87,
jeden,86,
nitransky,85,
teda,85,
toho,85,
trochen,84,
ne,84,
xd,83,
celkom,83,
ovladat,82,
slovencina,81,
materinsky,80,
do,79,
najviac,79,
povedat,78,
urcite,78,
zatial,77,
ta,76,
vediet,75,
ziadny,73,
sem,72,
malo,72,
treba,72,
rec,71,
rukami,71,
nohami,71,
slovencinu,68,
ak,68,
tu,67,
par,66,
anglinu,66,
poriadne,65,
dost,64,
latinsky,64,
slov,64,
dorozumiem,63,
aby,62,
ano,62,
aktivne,62,
chorvatsky,61,croatian
grecky,61,
naucit,61,
viac,60,
romsky,60,romani
tiez,60,
obcas,59,
inak,59,
hehe,59,
ci,58,
srbsky,58,serbian
aky,58,
mno,58,
menej,57,
anglictina,56,
rodny,56,
noo,54,
ine,54,
tom,54,
nemciny,53,
magyar,53,
skoro,53,
myslim,52,
cinsky,51,chinese
od,51,
ceski,51,
i,50,
anglina,50,
mala,50,
topankach,49,
hadam,49,
nejde,48,
arabsky,48,arabic
heh,48,
perfektne,47,
ved,47,
okrem,46,
ustach,46,
trosicku,45,
chcela,45,
vyborne,45,
budem,44,
mongolsky,44,
slowensky,44,
mal,44,
kazdy,44,
predsa,44,
vsetko,43,
podla,43,
vela,43,
tomu,43,
anglicki,42,
deutsch,42,
aa,42,
potom,42,
teraz,42,
slovenky,42,
akoze,42,
rozku,41,
zacinam,41,
jak,41,
pravdaze,40,
hlawne,40,
sk,40,
mna,40,
dufam,39,
vezme,39,
ktory,39,
neni,39,
skor,38,
magyarsky,38,
nj,38,
rad,38,
iny,37,
za,37,
zo,37,
ucila,36,
jazykov,36,
lebo,36,
svooj,36,
vsade,36,
ddd,36,
rada,36,
az,35,
chces,35,
hebrejsky,35,hebrew
tie,35,
vim,35,
amp,35,
vraj,35,
so,34,
kedy,33,
mierne,33,
nee,33,
alebo,33,
fakt,33,
naj,32,
rustinu,32,
taky,32,
hovorim,32,
pri,32,
lepsie,32,
anglictiny,31,
slovak,31,
tym,31,
kto,31,
ruky,31,
takze,31,
pracuje,30,
vzdy,30,
stale,30,
k,30,
vobec,30,
zaciatocnik,30,
najma,29,
holandsky,29,dutch
ucil,29,
rokov,29,
ju,28,
dva,28,
turecky,28,
nohy,28,
chcel,28,
nevim,28,
plynule,28,
nepovedalo,28,
nemam,27,
problem,27,
neda,26,
kazdym,26,
raz,26,
potrebujem,26,
akurat,26,
vsak,26,
bit,26,
ledva,26,
hej,25,
little,25,
rustina,25,
vo,25,
slovenskyy,25,
xi,24,
neee,24,
zevraj,24,
rumunsky,24,romanian
keby,24,
x,24,
pomaly,24,
uplne,24,
dohodnem,24,
nejako,24,
su,24,
nitriansky,23,
ang,23,
musim,23,
hmm,23,
slova,23,
ete,23,
moja,23,
ostatne,23,
najme,23,
mad,23,
cudzie,23,
studujem,23,
ovlada,23,
ciganski,22,
nej,22,
cize,22,
kde,22,
super,22,
nemecki,21,
cudzi,21,
aaa,21,
rok,21,
angl,21,
daco,20,
cestina,20,
neznasam,20,
reci,20,
malinko,20,
svojho,20,
nooo,20,
casti,20,
sice,20,
norsky,20,
nejaky,20,
francuzstina,20,
skole,19,
poviem,19,
dajme,19,
nadavat,19,
volaco,19,
slabo,19,
cz,19,
najradsej,19,
he,19,
nikto,19,
zensky,19,
finsky,19,
snad,19,
taliancinu,18,
chce,18,
rustiny,18,
my,18,
bude,18,
madarcinu,18,
zdokonalujem,18,
magyarul,18,
momentalne,18,
ha,18,
ty,18,
inych,18,
mooj,18,
trosken,18,
portugalsky,18,portuguese
vsetkych,18,
neco,17,
tej,17,
zabudam,17,
romski,17,
ineho,17,
dalej,17,
slovo,17,
nem,17,
naucim,17,
and,17,
snaha,17,
ziadna,17,
pol,17,
zaklad,17,
zadny,17,
xixi,17,
hm,17,
byt,17,
pokrocily,16,
vedet,16,
spanielcinu,16,
slusne,16,
mojej,16,
haha,16,
dohovorit,16,
nestratim,16,
pracujem,16,
pa,16,
jazykoch,16,
ti,16,
nim,16,
nazvat,16,
kolko,16,
promile,16,
slava,16,
korejsky,16,korean
pre,16,
mojho,15,
svete,15,
un,15,
nitrancina,15,
zacala,15,
tolko,15,
clovek,15,
francuzstinu,15,
ukrajinsky,15,ukrainian
niekoho,15,
ziaden,15,
jazyku,15,
take,15,
biedne,15,
madarcina,15,
taliancina,15,
nemeckeho,14,
ece,14,
hmmm,14,
secky,14,
vazne,14,
malicko,14,
radsej,14,
pod,14,
bola,14,
neho,14,
tento,14,
jazyka,14,
nebudem,14,
svedsky,14,swedish
angliny,14,
neminu,14,
tazko,14,
najlepsi,14,
latincinu,14,
topanke,14,
nechcem,14,
jedno,14,
troch,13,
bieda,13,
arsky,13,
is,13,
nemina,13,
slovakia,13,
jaky,13,
atd,13,
pravda,13,
kazdej,13,
vie,13,
dalsich,13,
wiem,13,
jednoznacne,13,
mozem,13,
roky,13,
zeby,13,
mne,13,
vem,13,
und,13,
de,13,
espanol,13,
vedel,13,
niekto,13,
nejake,13,
moju,13,
you,13,
bez,13,
italiano,13,
nieje,12,
jazycek,12,
polski,12,
pokusam,12,
pozdravit,12,
dokazem,12,
gt,12,
dokonca,12,
nenavidim,12,
posunkovu,12,
milujem,12,
bolo,12,
cudzich,12,
hu,12,
anglickyy,12,
ruski,12,
hovno,12,
bol,12,
cestinu,12,
nitraansky,12,
nejak,12,
vetu,12,
podrezany,12,
svoju,12,
c,12,
rosku,12,
druhy,12,
talianciny,12,
hore,12,
bulharsky,12,
svojim,12,
