dataset,seed,axis,n_train,n_test,embed_dim,acc_baseline,acc_after_inlp,acc_drop,f1_baseline,f1_after_inlp,f1_drop,leakage_pre,leakage_post,leakage_drop
pokec-z,3,gender,10000,26628,512,0.9477242000901307,0.9463346852936758,0.0013895147964548826,0.9475399679263043,0.9461613263771104,0.0013786415491939819,0.8355666873836083,0.6756607434277336,0.15990594395587465
pokec-z,3,region,10000,26628,512,0.9477242000901307,0.9457713684843022,0.0019528316058284867,0.9475399679263043,0.9455907983270029,0.0019491695993014702,0.5926777726530782,0.5374187472202849,0.05525902543279326
pokec-z,3,age_group,10000,26628,512,0.9477242000901307,0.942429022082019,0.005295178008111745,0.9475399679263043,0.942184134331719,0.0053558335945853575,0.9973406168007409,0.8326958646621451,0.16464475213859586
pokec-z,3,gender_x_age,10000,26628,512,0.9477242000901307,0.9213234189574884,0.026400781132642326,0.9475399679263043,0.9211538144044995,0.026386153521804845,0.9496949288937425,0.6981628114001119,0.2515321174936306
pokec-z,3,gender_x_region,10000,26628,512,0.9477242000901307,0.93131290371038,0.016411296379750695,0.9475399679263043,0.9310898387089099,0.016450129217394416,0.7347004255589281,0.5965561243824703,0.13814430117645782
pokec-z,7,gender,10000,26628,512,0.9480246357217966,0.9481748535376295,-0.00015021781583290927,0.9478533748393081,0.9479959073353195,-0.00014253249601137163,0.8225451186200146,0.6863123505148471,0.1362327681051675
pokec-z,7,region,10000,26628,512,0.9480246357217966,0.9203470031545742,0.027677632567222443,0.9478533748393081,0.9202762970778409,0.027577077761467228,0.5906152115240916,0.5477642751260895,0.04285093639800208
pokec-z,7,age_group,10000,26628,512,0.9480246357217966,0.9201592308847829,0.02786540483701372,0.9478533748393081,0.9190521859600971,0.028801188879211015,0.9982923899970336,0.8234800450509931,0.17481234494604048
pokec-z,7,gender_x_age,10000,26628,512,0.9480246357217966,0.49669520805167494,0.4513294276701217,0.9478533748393081,0.37287435698563387,0.5749790178536742,0.9508280581294848,0.7338382856910558,0.21698977243842898
pokec-z,7,gender_x_region,10000,26628,512,0.9480246357217966,0.9309749136247559,0.017049722097040698,0.9478533748393081,0.9308409375579361,0.017012437281372028,0.7256083437032518,0.6128312531189533,0.11277709058429852
pokec-z,21,gender,10000,26628,512,0.948400180261379,0.9462595763857593,0.002140603875619651,0.9482192543957544,0.9460799289202606,0.0021393254754937807,0.8077002585948495,0.6552125688048018,0.15248768979004768
pokec-z,21,region,10000,26628,512,0.948400180261379,0.9414526062791047,0.006947573982274302,0.9482192543957544,0.941340709099123,0.006878545296631344,0.5812530120607464,0.5363978304881858,0.04485518157256063
pokec-z,21,age_group,10000,26628,512,0.948400180261379,0.9408517350157729,0.00754844524560605,0.9482192543957544,0.9407062489431888,0.007513005452565613,0.996550965991512,0.8176660148815458,0.17888495110996627
pokec-z,21,gender_x_age,10000,26628,512,0.948400180261379,0.9068649541835662,0.04153522607781279,0.9482192543957544,0.9067406895242743,0.04147856487148005,0.9408059339335848,0.690559476278949,0.2502464576546358
pokec-z,21,gender_x_region,10000,26628,512,0.948400180261379,0.9270316959591407,0.021368484302238255,0.9482192543957544,0.926887878343051,0.02133137605270341,0.7054377858856277,0.5990326889794408,0.10640509690618682
pokec-z,42,gender,10000,26628,512,0.9479119723599219,0.9474237644584648,0.0004882079014570939,0.9477459355561875,0.9472581814955093,0.0004877540606781361,0.807770628457175,0.6365502961619466,0.17122033229522837
pokec-z,42,region,10000,26628,512,0.9479119723599219,0.9471984377347153,0.0007135346252065133,0.9477459355561875,0.9470427038586202,0.0007032316975672526,0.5798262204476321,0.5461931640972308,0.03363305635040126
pokec-z,42,age_group,10000,26628,512,0.9479119723599219,0.9390491212257773,0.008862851134144534,0.9477459355561875,0.9389010187714444,0.008844916784743084,0.9971959977668768,0.8324020799282384,0.1647939178386384
pokec-z,42,gender_x_age,10000,26628,512,0.9479119723599219,0.903560162235241,0.04435181012468081,0.9477459355561875,0.9035542774238995,0.04419165813228798,0.9433743630743967,0.726911069282417,0.2164632937919797
pokec-z,42,gender_x_region,10000,26628,512,0.9479119723599219,0.9419408141805619,0.005971158179360003,0.9477459355561875,0.9417907530314931,0.005955182524694402,0.7120698120993986,0.5834174270748632,0.12865238502453535
pokec-z,99,gender,10000,26628,512,0.9488883881628362,0.9488508337088779,0.000037554453958255074,0.9487232786558762,0.9486927633657247,0.000030515290151522656,0.799521528966744,0.6640755586941439,0.13544597027260008
pokec-z,99,region,10000,26628,512,0.9488883881628362,0.9467853387411747,0.002103049421661507,0.9487232786558762,0.9466649692278888,0.002058309427987459,0.5808883731916846,0.5404507196280927,0.04043765356359197
pokec-z,99,age_group,10000,26628,512,0.9488883881628362,0.9397251013970257,0.009163286765810463,0.9487232786558762,0.939524135786723,0.009199142869153243,0.9981872634292741,0.8223620511153648,0.17582521231390935
