dataset,seed,axis,n_train,n_test,embed_dim,composite_n_cells,acc_baseline,f1_baseline,acc_after_ultimate,f1_after_ultimate,delta_dp,delta_eo,leakage_pre,leakage_post
pokec-z,3,gender,10000,13314,512,12,0.9484752891692955,0.9482941656365397,0.8957488358119273,0.895066013617012,0.0003731759071564644,0.012785523007562194,0.8305154567013097,0.5617732008578056
pokec-z,3,region,10000,13314,512,12,0.9484752891692955,0.9482941656365397,0.8957488358119273,0.895066013617012,0.011694377907026987,0.03611898658818069,0.5901496786801499,0.5387561088616596
pokec-z,3,age_group,10000,13314,512,12,0.9484752891692955,0.9482941656365397,0.8957488358119273,0.895066013617012,0.04268571274994626,0.020742726454709093,0.9975889921432438,0.6608534586834477
pokec-z,3,gender_x_age,10000,13314,512,12,0.9484752891692955,0.9482941656365397,0.8957488358119273,0.895066013617012,0.07512525192864655,0.07761273209549069,0.9488252993430221,0.6303689678001209
pokec-z,3,gender_x_region,10000,13314,512,12,0.9484752891692955,0.9482941656365397,0.8957488358119273,0.895066013617012,0.020479559438577932,0.04728606123544432,0.7297743940001052,0.5491577809390246
pokec-z,7,gender,10000,13314,512,12,0.9453958239447199,0.9452101776901379,0.8839567372690401,0.8839541389429808,0.011118460827198695,0.016490336144359352,0.8274190924398969,0.6120565826529766
pokec-z,7,region,10000,13314,512,12,0.9453958239447199,0.9452101776901379,0.8839567372690401,0.8839541389429808,0.01674395021671793,0.03485782722751951,0.5928963068437743,0.5313280364042902
pokec-z,7,age_group,10000,13314,512,12,0.9453958239447199,0.9452101776901379,0.8839567372690401,0.8839541389429808,0.016495194108799294,0.04243758907071604,0.9984450033599059,0.653365580837279
pokec-z,7,gender_x_age,10000,13314,512,12,0.9453958239447199,0.9452101776901379,0.8839567372690401,0.8839541389429808,0.06895644658224043,0.058234460529606236,0.9510990401769219,0.6348700663570268
pokec-z,7,gender_x_region,10000,13314,512,12,0.9453958239447199,0.9452101776901379,0.8839567372690401,0.8839541389429808,0.024546062691131465,0.04710534541286959,0.7243184507461833,0.5772436403662429
pokec-z,21,gender,10000,13314,512,12,0.9496770316959592,0.9495168355765919,0.910920835211056,0.9103504344219362,0.018365280889552693,0.03362067650456457,0.8093221947313486,0.5830161834877507
pokec-z,21,region,10000,13314,512,12,0.9496770316959592,0.9495168355765919,0.910920835211056,0.9103504344219362,0.01966957268184316,0.02190329373516464,0.5882202017694104,0.5391839749102074
pokec-z,21,age_group,10000,13314,512,12,0.9496770316959592,0.9495168355765919,0.910920835211056,0.9103504344219362,0.038317024413438094,0.07761315595547458,0.997171762599215,0.6099512162970931
