method,f1,acc,true_g0,true_g1,pred_g0,pred_g1,true_gap,pred_gap,excess_gap,delta_dp,delta_eo,ppv_g0,ppv_g1,ppv_gap,leakage_auc
GraphSAGE,0.6319232538292727,0.8860597866907015,0.08085844665765762,0.12181995809078217,0.052135270088911057,0.12866927683353424,0.04096151143312454,0.07653400674462318,0.03557249531149864,0.07653400301933289,0.15430623292922974,0.3617463707923889,0.36692014336586,0.005173772573471069,0.9005367976487787
GraphSAGE+Resampling,0.6319232538292727,0.8860597866907015,0.08085844665765762,0.12181995809078217,0.052135270088911057,0.12866927683353424,0.04096151143312454,0.07653400674462318,0.03557249531149864,0.07653400301933289,0.15430623292922974,0.3617463707923889,0.36692014336586,0.005173772573471069,0.9005406952104642
GraphSAGE+Reweighted@age_old,0.6338911664224136,0.8911671924290221,0.08085844665765762,0.12181995809078217,0.05386950075626373,0.10078278183937073,0.04096151143312454,0.046913281083106995,0.005951769649982452,0.046913281083106995,0.10744316875934601,0.3601609766483307,0.4199029207229614,0.05974194407463074,0.8968985166145365
GraphSAGE+FairDrop@age_old,0.6410080882028406,0.8872615292173652,0.08085844665765762,0.12181995809078217,0.05614567548036575,0.12842465937137604,0.04096151143312454,0.07227898389101028,0.03131747245788574,0.07227898389101028,0.13284772634506226,0.37837839126586914,0.3752380907535553,-0.0031403005123138428,0.8943463561032953
FairGNN(λ=1.0)@age_old,0.5600454686835308,0.7135346252065495,0.08085844665765762,0.12181995809078217,0.3030565679073334,0.34491193294525146,0.04096151143312454,0.04185536503791809,0.0008938536047935486,0.04185536503791809,0.025237679481506348,0.17274677753448486,0.23758865892887115,0.06484188139438629,0.8797556615928013
GraphSAGE+DPT@age_old,0.6363866874504334,0.8874868559411146,0.08085844665765762,0.12181995809078217,0.07435508072376251,0.07827788591384888,0.04096151143312454,0.003922805190086365,-0.03703870624303818,0.003922805190086365,0.035229384899139404,0.34402331709861755,0.4375,0.09347668290138245,0.9005367976487787
GraphSAGE+EOT@age_old,0.6352245839456566,0.8870362024936157,0.08085844665765762,0.12181995809078217,0.06730977445840836,0.09466731548309326,0.04096151143312454,0.027357541024684906,-0.013603970408439636,0.027357541024684906,0.03107336163520813,0.34621578454971313,0.41085270047187805,0.06463691592216492,0.9005367976487787
GraphSAGE+INLP@age_old,0.5901387804950238,0.9064894096439837,0.08085844665765762,0.12181995809078217,0.02189464494585991,0.04182974621653557,0.04096151143312454,0.01993510127067566,-0.021026410162448883,0.01993510127067566,0.04868805408477783,0.4801980257034302,0.5204678177833557,0.04026979207992554,0.6681006158465631
GraphSAGE+INLP+DPT@age_old,0.5878221130221131,0.9053627760252366,0.08085844665765762,0.12181995809078217,0.02926512062549591,0.027886496856808662,0.04096151143312454,-0.0013786237686872482,-0.04234013520181179,0.0013786237686872482,0.05243493616580963,0.46666666865348816,0.5087719559669495,0.042105287313461304,0.6681006158465631
GraphSAGE+INLP+EOT@age_old,0.5861276462209151,0.9051374493014872,0.08085844665765762,0.12181995809078217,0.02633860893547535,0.03375734016299248,0.04096151143312454,0.007418731227517128,-0.033542780205607414,0.007418731227517128,0.01827685534954071,0.4691357910633087,0.4855072498321533,0.016371458768844604,0.6681006158465631
